Period,Hypothesis,Lag (minutes),Correlation
2025-11-05 17:07:00+00:00 to 2025-11-05 17:36:00+00:00,IWM follows SPY,-4,0.28778348732512415
2025-11-05 18:42:00+00:00 to 2025-11-05 19:11:00+00:00,IWM follows SPY,-1,0.4517193445590348
2025-11-05 18:43:00+00:00 to 2025-11-05 19:12:00+00:00,IWM follows SPY,-1,0.4504159135705697
2025-11-05 18:44:00+00:00 to 2025-11-05 19:13:00+00:00,IWM follows SPY,-1,0.45207733195170313
2025-11-05 18:46:00+00:00 to 2025-11-05 19:15:00+00:00,IWM follows SPY,-1,0.4950084664556518
2025-11-10 20:33:00+00:00 to 2025-11-11 14:32:00+00:00,IWM follows SPY,-2,0.533892284130883
2025-11-10 20:34:00+00:00 to 2025-11-11 14:33:00+00:00,IWM follows SPY,-2,0.5416791552303881
2025-11-10 20:35:00+00:00 to 2025-11-11 14:34:00+00:00,IWM follows SPY,-2,0.5270658865358588
2025-11-10 20:36:00+00:00 to 2025-11-11 14:35:00+00:00,IWM follows SPY,-2,0.548900603489015
2025-11-10 20:37:00+00:00 to 2025-11-11 14:36:00+00:00,IWM follows SPY,-2,0.5533048919594709
2025-11-10 20:38:00+00:00 to 2025-11-11 14:37:00+00:00,IWM follows SPY,-2,0.5376782323718192
2025-11-10 20:39:00+00:00 to 2025-11-11 14:38:00+00:00,IWM follows SPY,-2,0.5428682075061502
2025-11-10 20:40:00+00:00 to 2025-11-11 14:39:00+00:00,IWM follows SPY,-2,0.5700655136895701
2025-11-10 20:41:00+00:00 to 2025-11-11 14:40:00+00:00,IWM follows SPY,-2,0.5136224443888192
2025-11-10 20:42:00+00:00 to 2025-11-11 14:41:00+00:00,IWM follows SPY,-2,0.5064551803253795
2025-11-10 20:43:00+00:00 to 2025-11-11 14:42:00+00:00,IWM follows SPY,-2,0.5074480121978586
2025-11-10 20:44:00+00:00 to 2025-11-11 14:43:00+00:00,IWM follows SPY,-2,0.4924881875488478
2025-11-10 20:45:00+00:00 to 2025-11-11 14:44:00+00:00,IWM follows SPY,-2,0.47351503478725754
2025-11-10 20:46:00+00:00 to 2025-11-11 14:45:00+00:00,IWM follows SPY,-2,0.4437735173147285
2025-11-10 20:47:00+00:00 to 2025-11-11 14:46:00+00:00,IWM follows SPY,-2,0.4561464093682226
2025-11-10 20:48:00+00:00 to 2025-11-11 14:47:00+00:00,IWM follows SPY,-2,0.4924811275538108
2025-11-10 20:49:00+00:00 to 2025-11-11 14:48:00+00:00,IWM follows SPY,-2,0.5036159671953857
2025-11-10 20:50:00+00:00 to 2025-11-11 14:49:00+00:00,IWM follows SPY,-2,0.5076920085138646
2025-11-10 20:51:00+00:00 to 2025-11-11 14:50:00+00:00,IWM follows SPY,-2,0.5107517360846663
2025-11-10 20:52:00+00:00 to 2025-11-11 14:51:00+00:00,IWM follows SPY,-2,0.4758856722367998
2025-11-10 20:53:00+00:00 to 2025-11-11 14:52:00+00:00,IWM follows SPY,-2,0.49202854699248366
2025-11-10 20:54:00+00:00 to 2025-11-11 14:53:00+00:00,IWM follows SPY,-2,0.5014830240134133
2025-11-10 20:55:00+00:00 to 2025-11-11 14:54:00+00:00,IWM follows SPY,-2,0.5315801424273656
2025-11-10 20:56:00+00:00 to 2025-11-11 14:55:00+00:00,IWM follows SPY,-2,0.528902481147064
2025-11-12 14:37:00+00:00 to 2025-11-12 15:06:00+00:00,IWM follows SPY,-3,0.4531351558547172
